question_number,question,optionA,optionB,optionC,optionD,CorrectAnswer
24,You're driving on the motorway in windy conditions. What should you do as you overtake a high-sided vehicle?,Increase your speed,Be wary of a sudden gust,Drive alongside very closely,Expect normal conditions,Be wary of a sudden gust
25,You're driving on an open road in dry weather. What distance should you keep from the vehicle in front?,A two-second time gap,One car length,2 metres (6 feet 6 inches),2 car lengths,A two-second time gap
26,You're approaching a roundabout. What should you do if a cyclist ahead is signalling to turn right?,Overtake on the right,Give a warning with your horn,Signal the cyclist to move across,Give the cyclist plenty of room,Give the cyclist plenty of room
27,What does this sign mean?,Ring road,Mini-roundabout,No vehicles,Roundabout,Mini-roundabout
28,What should you do if you think the driver of the vehicle in front has forgotten to cancel their right indicator?,Flash your lights to alert the driver,Sound your horn before overtaking,Overtake on the left if there's room,Stay behind and do not overtake,Stay behind and do not overtake
29,You're approaching traffic lights and the red light is showing. What signal will show next?,Red and amber,Green alone,Amber alone,Green and amber,Red and amber
30,What should you do when you park at night on a road that has a 40 mph speed limit?,Park facing the traffic,Leave parking lights switched on,Leave dipped headlights switched on,Park near a street light,Leave parking lights switched on
31,You're driving along a quiet motorway. Which advanced driver assistance system (ADAS) is most likely to help you?,Traffic jam assist,Automotive night vision,Intelligent speed assist,Lane-departure warning,Lane-departure warning
32,What colour are the reflective studs between a motorway and a slip road?,Amber,White,Green,Red,Green
33,You're on a motorway. What does it mean if a red cross is showing above the hard shoulder and mandatory speed limits above all other lanes?,The hard shoulder can be used as a rest area if you feel tired,The hard shoulder is for emergency or breakdown use only,The hard shoulder can be used as a normal running lane,The hard shoulder has a speed limit of 50 mph,The hard shoulder is for emergency or breakdown use only
34,How should you use anti-lock brakes when you need to stop in an emergency?,Keep pumping the footbrake to prevent skidding,Brake normally but grip the steering wheel tightly,Brake promptly and firmly until you've stopped,Apply the parking brake to reduce the stopping distance,Brake promptly and firmly until you've stopped
35,What could you do to help injured people at an incident?,Keep them warm and comfortable,Give them something to eat,Keep them on the move by walking them around,Give them a warm drink,Keep them warm and comfortable
36,You're looking for somewhere to park your vehicle. Neither you or your passenger are disabled. What should you do if the only free spaces are marked for disabled drivers?,Use one of these spaces,Park in one of these spaces but stay with your vehicle,Use one of the spaces as long as one is kept free,Wait for a regular parking space to become free,Wait for a regular parking space to become free
37,What does this sign mean?,Hump bridge,Humps in the road,Entrance to tunnel,Soft verges,Humps in the road
38,"At an incident, someone is suffering from severe burns. How could you help them?",Apply lotions to the injury,Burst any blisters,Remove anything sticking to the burns,"Douse the burns with clean, cool water","Douse the burns with clean, cool water"
39,What should you do when you're approaching traffic lights that have red and amber showing together?,Pass the lights if the road is clear,Take care because there's a fault with the lights,Wait for the green light,Stop because the lights are changing to red,Wait for the green light
40,What should you do when you're passing loose sheep on the road?,Briefly sound your horn,Go very slowly,Pass quickly but quietly,Herd them to the side of the road,Go very slowly
41,Which sign means 'no stopping'?,,,,,REQUIRES OPTIONS (image-based)
42,You're going to turn left from a main road into a minor road. What should you do as you approach the junction?,Keep just left of the middle of the road,Keep in the middle of the road,Swing out to the right just before turning,Keep well to the left of the road,Keep well to the left of the road
43,What does this curved arrow road marking mean?,Heavy vehicles should take the next road on the left to avoid a weight limit,The road ahead bends to the left,Overtaking traffic should move back to the left,The road ahead has a camber to the left,Overtaking traffic should move back to the left
44,"Following a collision, a person has been injured. What would be a warning sign for shock?",Flushed complexion,Warm dry skin,Slow pulse,Rapid shallow breathing,Rapid shallow breathing
45,What's the main benefit of driving a four-wheel-drive vehicle?,Improved grip on the road,Lower fuel consumption,Shorter stopping distances,Improved passenger comfort,Improved grip on the road
46,What part of the car does the law require you to keep in good condition?,The gearbox,The transmission,The door locks,The seat belts,The seat belts
47,You're carrying an 11-year-old child on the front seat of your car. They're under 1.35 metres (4 feet 5 inches) tall. What seat belt security must be in place?,They must use an adult seat belt,They must be able to fasten their own seat belt,They must use a suitable child restraint,They must be able to see clearly out of the front window,They must use a suitable child restraint
48,When are you allowed to wait on the yellow grid markings?,When you're going straight on,When you're turning left,When you're turning right,Never,When you're turning right
49,-0:00 Why did the lorry driver start turning so late?,Because the lorry needs the room to turn,Because the driver was late checking their right mirror,Because the driver was making room for the cyclist,Because the lorry set off too fast,Because the lorry needs the room to turn
50,-0:00 When may you wait in the area marked with a cycle?,When you've checked your mirrors for cyclists,When there are no cycles in the marked area,When you've turned on your hazard warning lights,When the traffic lights change to amber after you've passed the first line,When the traffic lights change to amber after you've passed the first line
